time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,前期测量基准重力：,-9.8242
0.022705,0.022704,-0.301644,0.057456,-9.822582,-9.82738,0.00426,-0.00426,0.00426,98076.88,32.72,-0.00318,,
0.090592,0.067888,-0.32319,0.028728,-9.834552,-9.839903,0.001065,-0.005325,0.00213,98068.59,32.73,-0.015703,,
0.157625,0.067033,-0.325584,0.019152,-9.8154,-9.820817,0.001065,-0.007455,0.00213,98072.74,32.74,0.003383,,
0.225455,0.06783,-0.29925,-0.014364,-9.892008,-9.896544,0.003195,-0.00213,0.00426,98060.31,32.75,-0.072344,,
0.296338,0.070883,-0.296856,0.019152,-9.889614,-9.894087,0.00213,-0.001065,0.00426,98060.31,32.74,-0.069887,,
0.369394,0.073057,-0.28728,0.016758,-9.860886,-9.865084,0.001065,-0.00213,-0.001065,98068.59,32.76,-0.040884,,
0.436727,0.067333,-0.392616,0.021546,-9.726822,-9.734766,0.001065,-0.00639,0.00213,98064.45,32.76,0.089434,,
0.504325,0.067598,-0.356706,0.021546,-9.664578,-9.671183,-0.001065,-0.00639,0.00426,98060.31,32.75,0.153017,,
0.571911,0.067586,-0.253764,0.038304,-9.832158,-9.835507,0.001065,-0.005325,0.00426,98072.74,32.75,-0.011307,,
0.641949,0.070038,-0.361494,-0.009576,-9.951858,-9.958426,0.001065,-0.00426,0,98068.59,32.75,-0.134226,,
0.716278,0.074329,-0.354312,0.002394,-9.872856,-9.879212,0.00213,-0.003195,0.003195,98060.31,32.75,-0.055012,,
0.787471,0.071193,-0.27531,0.033516,-9.710064,-9.714024,0.001065,-0.00639,0.005325,98060.31,32.76,0.110176,,
0.857548,0.070078,-0.33516,0.045486,-9.757944,-9.763804,0,-0.00639,0.003195,98076.88,32.75,0.060396,,
0.928539,0.070991,-0.33516,0.028728,-9.865674,-9.871407,0,-0.00639,0.005325,98060.31,32.74,-0.047207,,
0.995423,0.066884,-0.32319,0.019152,-9.901584,-9.906876,0.001065,-0.00426,0.003195,98064.45,32.75,-0.082676,,
1.062659,0.067236,-0.330372,0.05985,-9.834552,-9.840282,0.003195,-0.00639,0.00213,98064.45,32.76,-0.016082,,
1.129459,0.0668,-0.31122,0.050274,-9.777096,-9.782177,-0.001065,-0.00852,0.001065,98060.31,32.75,0.042023,,
1.196966,0.067508,-0.284886,0.014364,-9.784278,-9.788435,0.001065,-0.00213,0.003195,98072.74,32.75,0.035765,,
1.264915,0.067949,-0.349524,-0.007182,-9.85131,-9.857511,-0.001065,-0.005325,0.00213,98068.59,32.75,-0.033311,,
1.332065,0.06715,-0.356706,0.040698,-9.892008,-9.898521,0.001065,-0.009585,0.00426,98076.88,32.76,-0.074321,,
1.398829,0.066764,-0.306432,0.038304,-9.87525,-9.880077,0.001065,-0.003195,0.003195,98064.45,32.76,-0.055877,,
1.465586,0.066757,-0.316008,0.019152,-9.781884,-9.787006,0.001065,-0.007455,0.005325,98068.59,32.75,0.037194,,
1.533436,0.06785,-0.332766,0.01197,-9.796248,-9.801905,0.001065,-0.005325,0.003195,98064.45,32.76,0.022295,,
1.600382,0.066945,-0.301644,0.01197,-9.829764,-9.834398,0,-0.003195,0.005325,98072.74,32.76,-0.010198,,
1.668084,0.067702,-0.337554,0.040698,-9.89919,-9.905027,0.003195,-0.007455,0.001065,98076.88,32.75,-0.080827,,
1.735247,0.067163,-0.32319,0.052668,-9.829764,-9.835217,-0.00213,-0.007455,0.00213,98068.59,32.76,-0.011017,,
1.802086,0.066839,-0.29925,0.007182,-9.745974,-9.75057,0.00213,-0.007455,0.001065,98068.59,32.76,0.07363,,
1.869503,0.067417,-0.318402,0.04788,-9.784278,-9.789574,0,-0.005325,0.00213,98060.31,32.75,0.034626,,
1.936081,0.066578,-0.31122,0.043092,-9.860886,-9.86589,0.00213,-0.00426,0.00426,98072.74,32.75,-0.04169,,
2.002978,0.066897,-0.354312,0.026334,-9.892008,-9.898386,0.001065,-0.00852,0.001065,98068.59,32.75,-0.074186,,
2.070408,0.06743,-0.318402,0.014364,-9.8154,-9.820573,0.00213,-0.00639,0.00213,98068.59,32.76,0.003627,,
2.137507,0.067099,-0.296856,0.019152,-9.772308,-9.776835,0.00213,-0.005325,0.00213,98060.31,32.75,0.047365,,
2.204395,0.066888,-0.308826,-0.007182,-9.796248,-9.801117,0.00213,-0.00639,0.003195,98064.45,32.76,0.023083,,
2.271773,0.067378,-0.301644,0.01197,-9.872856,-9.87747,0,-0.00852,0.00213,98068.59,32.75,-0.05327,,
2.338997,0.067225,-0.320796,0.026334,-9.870462,-9.875709,0.001065,-0.007455,0.005325,98068.59,32.76,-0.051509,,
2.405551,0.066554,-0.34713,0.002394,-9.810612,-9.816752,0.003195,-0.00639,0.001065,98068.59,32.75,0.007448,,
2.472914,0.067363,-0.308826,0.014364,-9.76752,-9.772412,0,-0.007455,0.00639,98060.31,32.75,0.051788,,
2.540263,0.067349,-0.306432,0.026334,-9.769914,-9.774754,0,-0.007455,0.003195,98060.31,32.75,0.049446,,
2.607277,0.067014,-0.41895,0.031122,-9.75555,-9.764591,0.001065,-0.00852,0.003195,98064.45,32.76,0.059609,,
2.674226,0.066949,-0.234612,0.021546,-10.045224,-10.047986,0.001065,-0.003195,0.003195,98072.74,32.76,-0.223786,,
2.741365,0.067139,-0.268128,0.052668,-9.961434,-9.965181,0.003195,-0.00852,0.001065,98068.59,32.75,-0.140981,,
2.808157,0.066792,-0.308826,0,-9.705276,-9.710188,-0.001065,-0.00426,0.00213,98072.74,32.75,0.114012,,
2.875277,0.06712,-0.366282,-0.007182,-9.724428,-9.731326,0.00213,-0.007455,0.00426,98064.45,32.76,0.092874,,
2.942746,0.067469,-0.304038,0.112518,-9.836946,-9.842287,0.001065,-0.00213,0.00213,98072.74,32.76,-0.018087,,
3.010245,0.067499,-0.327978,0.088578,-9.882432,-9.88827,0.00213,-0.005325,0.00213,98068.59,32.76,-0.06407,,
3.076964,0.066719,-0.349524,0.01197,-9.92313,-9.929291,0,-0.00639,-0.00426,98068.59,32.74,-0.105091,,
3.143385,0.066421,-0.21546,-0.04788,-9.817794,-9.820275,0,-0.00426,0.00213,98072.74,32.75,0.003925,,
3.212084,0.068699,-0.366282,-0.03591,-9.781884,-9.788805,0.003195,-0.007455,0.003195,98068.59,32.75,0.035395,,
3.284538,0.072454,-0.354312,0.110124,-9.789066,-9.796095,0.001065,-0.007455,0.00639,98064.45,32.75,0.028105,,
3.357086,0.072548,-0.32319,0.069426,-9.903978,-9.909493,0,-0.00639,0.00213,98076.88,32.75,-0.085293,,
3.427732,0.070646,-0.29925,0,-9.88722,-9.891748,0.003195,-0.00852,0.001065,98060.31,32.75,-0.067548,,
3.501814,0.074082,-0.277704,-0.026334,-9.726822,-9.730821,-0.001065,-0.00639,0.005325,98052.02,32.74,0.093379,,
3.568919,0.067106,-0.294462,0.043092,-9.760338,-9.764874,0,-0.00639,0.005325,98072.74,32.74,0.059326,,
3.636045,0.067126,-0.29925,0.07182,-9.892008,-9.896794,0.00213,-0.00852,0.00213,98064.45,32.74,-0.072594,,
3.703211,0.067166,-0.366282,0.007182,-9.956646,-9.963384,0.001065,-0.007455,0,98060.31,32.75,-0.139184,,
3.770055,0.066844,-0.37107,-0.004788,-9.844128,-9.85112,-0.001065,-0.00639,0.00213,98076.88,32.74,-0.02692,,
3.837501,0.067446,-0.237006,0.038304,-9.67176,-9.674739,0.00213,-0.00639,0.001065,98068.59,32.74,0.149461,,
3.904225,0.066724,-0.28728,0.014364,-9.750762,-9.755004,0.00213,-0.005325,0.003195,98068.59,32.75,0.069196,,
3.971527,0.067302,-0.337554,0.055062,-9.918342,-9.924237,0.001065,-0.00639,0.003195,98068.59,32.75,-0.100037,,
4.038222,0.066695,-0.363888,0.021546,-9.956646,-9.963317,0.003195,-0.005325,0.001065,98060.31,32.76,-0.139117,,
4.105563,0.067341,-0.29925,0.016758,-9.810612,-9.815189,0.001065,-0.005325,0.003195,98072.74,32.75,0.009011,,
4.173178,0.067615,-0.32319,0.02394,-9.748368,-9.753753,0.00213,-0.00426,0.003195,98064.45,32.74,0.070447,,
4.243693,0.070515,-0.34713,0.02394,-9.76752,-9.773716,0,-0.005325,0.001065,98064.45,32.74,0.050484,,
4.313155,0.069462,-0.284886,0.057456,-9.889614,-9.893883,0,-0.005325,0.003195,98068.59,32.75,-0.069683,,
4.384605,0.07145,-0.33516,0.019152,-9.918342,-9.924022,0.003195,-0.00426,0.003195,98068.59,32.75,-0.099822,,
4.452247,0.067642,-0.375858,0.033516,-9.80343,-9.81069,0.00213,-0.00639,0.00213,98064.45,32.74,0.01351,,
4.51922,0.066974,-0.320796,0.045486,-9.76752,-9.772892,0.003195,-0.00639,0.005325,98068.59,32.75,0.051308,,
4.586222,0.067002,-0.301644,0.026334,-9.817794,-9.822462,0.00426,-0.007455,0.00213,98068.59,32.75,0.001738,,
4.653565,0.067343,-0.318402,0.021546,-9.844128,-9.849299,0.00213,-0.005325,0,98064.45,32.74,-0.025099,,
4.720792,0.067227,-0.32319,0.031122,-9.841734,-9.847088,0.001065,-0.007455,0.00426,98064.45,32.75,-0.022888,,
4.787772,0.066979,-0.272916,0.007182,-9.877644,-9.881416,0.00213,-0.00639,0.003195,98068.59,32.75,-0.057216,,
4.854786,0.067014,-0.301644,0.01197,-9.853704,-9.858327,0.00213,-0.007455,0.001065,98076.88,32.74,-0.034127,,
4.921626,0.06684,-0.320796,0.019152,-9.781884,-9.787162,0.001065,-0.007455,0.005325,98064.45,32.76,0.037038,,
4.989055,0.067429,-0.33516,0.03591,-9.753156,-9.758979,0,-0.00426,0.001065,98068.59,32.75,0.065221,,
5.056292,0.067237,-0.325584,0.045486,-9.82737,-9.832867,0,-0.00426,0.003195,98068.59,32.75,-0.008667,,
5.123484,0.067192,-0.344736,0.03591,-9.92313,-9.929181,0.00213,-0.005325,0.003195,98068.59,32.74,-0.104981,,
5.190569,0.067085,-0.318402,0.021546,-9.829764,-9.834943,0.00213,-0.00426,0.00213,98072.74,32.75,-0.010743,,
5.25759,0.067021,-0.306432,0,-9.813006,-9.817789,0,-0.00639,0.005325,98072.74,32.74,0.006411,,
5.324893,0.067303,-0.33516,0.028728,-9.813006,-9.81877,0,-0.003195,0.00213,98068.59,32.75,0.00543,,
