Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),ag,9.849606,,
0,-0.125025,9.858429,-0.123829,9.86,90.719582,90.726585,0.010394,,,9.849606
0.0208518,-0.133998,9.868599,-0.154935,9.870725,90.899376,90.777924,0.021115,,,
0.0417022,-0.131605,9.847662,-0.112463,9.849183,90.654243,90.765663,-0.000427,,,
0.0625541,-0.111864,9.852448,-0.131007,9.853953,90.761765,90.650505,0.004343,,,
0.0834046,-0.117248,9.836296,-0.114855,9.837666,90.668945,90.68293,-0.011944,,,
0.1042542,-0.116052,9.840483,-0.159721,9.842463,90.929825,90.675674,-0.007147,,,
0.1251053,-0.113061,9.845269,-0.178863,9.847543,91.040733,90.657944,-0.002067,,,
0.1459545,-0.13998,9.847662,-0.150748,9.849811,90.876923,90.814377,0.000201,,,
0.166807,-0.127418,9.84826,-0.204586,9.851209,91.189987,90.741257,0.001599,,,
0.1876573,-0.130409,9.840483,-0.114257,9.84201,90.665169,90.759254,-0.0076,,,
0.208508,-0.124427,9.864411,-0.185444,9.866939,91.076904,90.722672,0.017329,,,
0.2293562,-0.152542,9.848858,-0.140578,9.851042,90.817665,90.887344,0.001432,,,
0.2502044,-0.117847,9.845269,-0.108873,9.846577,90.63353,90.685791,-0.003033,,,
0.2710555,-0.116052,9.852448,-0.124427,9.853916,90.723503,90.674858,0.004306,,,
0.2919047,-0.129212,9.843474,-0.175872,9.845893,91.023499,90.75206,-0.003717,,,
0.3127541,-0.132802,9.847662,-0.165105,9.849941,90.960434,90.772621,0.000331,,,
0.333603,-0.15015,9.83809,-0.142373,9.840266,90.82901,90.874382,-0.009344,,,
0.3544527,-0.128614,9.842278,-0.121436,9.843867,90.706833,90.748672,-0.005743,,,
0.3753046,-0.135194,9.846465,-0.11665,9.848084,90.67868,90.786636,-0.001526,,,
0.3961549,-0.12323,9.842278,-0.15673,9.844296,90.912239,90.717339,-0.005314,,,
0.4170052,-0.122034,9.851251,-0.159123,9.853292,90.925323,90.709724,0.003682,,,
0.4378558,-0.117847,9.843474,-0.132802,9.845076,90.772896,90.685913,-0.004534,,,
0.4587064,-0.118445,9.84826,-0.107079,9.849554,90.622902,90.689064,-5.6E-05,,,
0.4795562,-0.125623,9.851849,-0.118445,9.853361,90.688751,90.730553,0.003751,,,
0.5004072,-0.122632,9.843474,-0.144766,9.845303,90.842506,90.713768,-0.004307,,,
0.5212598,-0.126221,9.85484,-0.16331,9.857001,90.949318,90.73381,0.007391,,,
0.5421101,-0.129811,9.850653,-0.104686,9.852064,90.608826,90.75499,0.002454,,,
0.5629612,-0.113061,9.840483,-0.126221,9.841941,90.734833,90.658264,-0.007669,,,
0.583811,-0.128016,9.855438,-0.181256,9.857936,91.053551,90.744194,0.008326,,,
0.6046605,-0.116052,9.844072,-0.16989,9.846222,90.988655,90.67543,-0.003388,,,
0.62551,-0.135793,9.84826,-0.18006,9.850842,91.047348,90.78997,0.001232,,,
0.6463599,-0.131007,9.842278,-0.119043,9.843869,90.692902,90.762596,-0.005741,,,
0.6672112,-0.119641,9.845269,-0.145962,9.847078,90.849319,90.696236,-0.002532,,,
0.6880603,-0.116052,9.857233,-0.174078,9.859453,91.011665,90.67453,0.009843,,,
0.7089109,-0.116052,9.856635,-0.18664,9.859085,91.084717,90.674568,0.009475,,,
0.729762,-0.125025,9.847063,-0.141775,9.848878,90.824799,90.727425,-0.000732,,,
0.7506123,-0.115454,9.844072,-0.116052,9.845433,90.675385,90.671951,-0.004177,,,
0.7714633,-0.107677,9.844072,-0.12323,9.845432,90.717163,90.626694,-0.004178,,,
0.7923135,-0.125025,9.838689,-0.166301,9.840888,90.968285,90.728043,-0.008722,,,
0.8131645,-0.128614,9.842278,-0.176471,9.8447,91.027107,90.748672,-0.00491,,,
0.8340154,-0.135793,9.845867,-0.132802,9.847699,90.77269,90.790161,-0.001911,,,
0.854865,-0.136391,9.84826,-0.089731,9.849612,90.52198,90.793449,2E-06,,,
