Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),ag,,9.849606
0,-0.048455,9.859028,-0.101097,9.859666,90.587494,90.281593,0.01006,,
0.0024529,-0.05324,9.830314,-0.125025,9.831253,90.728653,90.31031,-0.018353,,
0.0049056,-0.043669,9.859028,-0.134596,9.860044,90.78215,90.253784,0.010438,,
0.0073587,-0.05324,9.847063,-0.108275,9.847803,90.629974,90.309776,-0.001803,,
0.0098119,0.078365,9.837492,0.221934,9.840307,88.707664,89.543594,-0.009299,,
0.012265,-0.268594,9.868599,-0.716052,9.898188,94.148499,91.559036,0.048582,,
0.0147182,0.064008,9.887741,-0.335593,9.893641,91.943855,89.629105,0.044035,,
0.0171715,-0.055633,9.825528,0.181256,9.827357,88.943176,90.324409,-0.022249,,
0.0196248,-0.026919,9.84467,-0.002991,9.844707,90.01741,90.15667,-0.004899,,
0.0220778,-0.084347,9.837492,-0.345165,9.843907,92.009422,90.491241,-0.005699,,
0.0245314,-0.065204,9.839885,-0.270987,9.843831,91.577477,90.379669,-0.005775,,
0.0269845,0.011366,9.854242,-0.034098,9.854308,90.198257,89.933914,0.004702,,
0.0294376,-0.041276,9.842278,0.064008,9.842572,89.627396,90.24028,-0.007034,,
0.0318905,-0.048455,9.851849,-0.165703,9.853361,90.963585,90.281799,0.003755,,
0.0343434,-0.058026,9.875777,-0.306879,9.880714,91.7798,90.336639,0.031108,,
0.0367968,-0.058026,9.808778,-0.096311,9.809422,90.562553,90.338943,-0.040184,,
0.0392505,-0.036491,9.847063,-0.005384,9.847133,90.031326,90.212318,-0.002473,,
0.0417047,-0.012562,9.813564,-0.189631,9.815404,91.10701,90.073341,-0.034202,,
0.0441578,-0.074776,9.839885,-0.249452,9.84333,91.452156,90.435394,-0.006276,,
0.0466114,-0.017348,9.835099,-0.132203,9.836003,90.770119,90.101067,-0.013603,,
0.0490643,-0.022134,9.832706,-0.089133,9.833135,90.519363,90.128975,-0.016471,,
0.0515172,-0.062812,9.825528,-0.132203,9.826618,90.770859,90.366272,-0.022988,,
0.0539705,-0.067597,9.832706,-0.170489,9.834416,90.993324,90.39389,-0.01519,,
0.0564239,-0.065204,9.827921,-0.14656,9.829229,90.854347,90.380127,-0.020377,,
0.058877,-0.005384,9.851849,-0.129811,9.852706,90.754898,90.031311,0.0031,,
0.0613299,-0.048455,9.863813,-0.067597,9.864164,90.392639,90.281456,0.014558,,
0.0637828,-0.060419,9.837492,-0.091525,9.838103,90.533043,90.351891,-0.011503,,
0.0662356,-0.041276,9.87817,-0.132203,9.879141,90.766762,90.23941,0.029535,,
0.0686886,-0.026919,9.885348,-0.115454,9.886059,90.669144,90.156021,0.036453,,
0.0711418,-0.038883,9.870992,-0.098704,9.871562,90.572899,90.225693,0.021956,,
0.0735944,-0.077169,9.847063,-0.151346,9.848529,90.880524,90.448997,-0.001077,,
0.076047,-0.05324,9.842278,-0.072383,9.842689,90.421356,90.309929,-0.006917,,
0.0784999,-0.043669,9.849456,-0.077169,9.849855,90.448891,90.254028,0.000249,,
0.0809527,-0.065204,9.839885,-0.120239,9.840836,90.700081,90.379669,-0.00877,,
0.0834057,-0.055633,9.832706,-0.127418,9.83369,90.742416,90.324173,-0.015916,,
0.0858584,-0.043669,9.847063,-0.117847,9.847865,90.685661,90.254089,-0.001741,,
0.0883115,-0.002991,9.851849,-0.170489,9.853324,90.991417,90.017395,0.003718,,
0.0907648,-0.038883,9.87817,-0.194417,9.880159,91.12751,90.225533,0.030553,,
0.093218,-0.029312,9.873384,-0.187238,9.875203,91.086418,90.170097,0.025597,,
0.0956711,-0.022134,9.861421,-0.160917,9.862759,90.93486,90.128601,0.013153,,
0.0981235,-0.046062,9.875777,-0.110668,9.876505,90.642021,90.267235,0.026899,,
0.1005767,-0.036491,9.849456,-0.113061,9.850172,90.657661,90.212273,0.000566,,
0.1030295,-0.058026,9.868599,-0.105882,9.869337,90.614708,90.336884,0.019731,,
0.1054822,-0.038883,9.847063,-0.089133,9.847543,90.518608,90.226242,-0.002063,,
0.1079355,-0.084347,9.847063,-0.129811,9.84828,90.755241,90.490768,-0.001326,,
0.110389,-0.036491,9.882956,-0.084347,9.883384,90.488983,90.211548,0.033778,,
0.1128414,-0.031705,9.849456,-0.091525,9.849932,90.532402,90.184433,0.000326,,
0.1152942,-0.046062,9.835099,-0.108275,9.835803,90.630737,90.268341,-0.013803,,
0.1177472,-0.046062,9.835099,-0.113061,9.835856,90.658615,90.268341,-0.01375,,
0.1202005,-0.065204,9.851849,-0.134596,9.852983,90.782707,90.379204,0.003377,,
0.1226537,-0.036491,9.856635,-0.115454,9.857379,90.671089,90.212112,0.007773,,
0.1251068,-0.050847,9.859028,-0.113061,9.859807,90.657013,90.295494,0.010201,,
0.1275602,-0.072383,9.827921,-0.127418,9.829014,90.742767,90.421974,-0.020592,,
0.1300132,-0.058026,9.832706,-0.139382,9.833865,90.812119,90.33812,-0.015741,,
0.1324663,-0.029312,9.837492,-0.101097,9.838056,90.588783,90.170723,-0.01155,,
0.1349193,-0.031705,9.827921,-0.081954,9.828314,90.477768,90.184837,-0.021292,,
0.1373723,-0.038883,9.847063,-0.136989,9.848093,90.79702,90.226242,-0.001513,,
0.1398256,-0.062812,9.899706,-0.220738,9.902366,91.277313,90.363525,0.05276,,
0.1422788,-0.041276,9.84467,-0.148953,9.845883,90.866829,90.240227,-0.003723,,
0.1447322,-0.05324,9.863813,-0.058026,9.864128,90.337044,90.30925,0.014522,,
0.1471848,-0.043669,9.851849,-0.105882,9.852514,90.615753,90.253967,0.002908,,
0.1496377,-0.062812,9.854242,-0.144168,9.855497,90.838158,90.365204,0.005891,,
0.1520904,-0.060419,9.854242,-0.160917,9.855742,90.935524,90.351288,0.006136,,
0.1545427,-0.019741,9.847063,-0.115454,9.847759,90.671745,90.114861,-0.001847,,
0.1569952,-0.065204,9.842278,-0.074776,9.842777,90.43528,90.379578,-0.006829,,
0.1594487,-0.048455,9.868599,-0.096311,9.869188,90.559143,90.281319,0.019582,,
0.1619016,-0.058026,9.87817,-0.156132,9.879574,90.90551,90.336563,0.029968,,
0.1643548,-0.038883,9.837492,-0.141775,9.838591,90.825668,90.226463,-0.011015,,
0.1668084,-0.050847,9.849456,-0.120239,9.850321,90.699409,90.295784,0.000715,,
0.1692617,-0.029312,9.866206,-0.072383,9.866515,90.420341,90.170219,0.016909,,
0.171715,-0.036491,9.830314,-0.067597,9.830614,90.393982,90.212685,-0.018992,,
0.1741685,-0.041276,9.847063,-0.110668,9.847772,90.643898,90.240166,-0.001834,,
0.1766216,-0.041276,9.837492,-0.117847,9.838284,90.686325,90.240402,-0.011322,,
0.1790745,-0.062812,9.839885,-0.093918,9.840533,90.546837,90.365738,-0.009073,,
0.1815276,-0.024526,9.861421,-0.081954,9.861792,90.476151,90.142502,0.012186,,
0.1839809,-0.077169,9.859028,-0.084347,9.859691,90.490158,90.448456,0.010085,,
0.1864341,-0.136989,9.830314,-0.110668,9.831891,90.644936,90.798386,-0.017715,,
0.1888872,-0.017348,9.842278,-0.10349,9.842837,90.602432,90.10099,-0.006769,,
0.1913403,-0.060419,9.847063,-0.125025,9.848042,90.727417,90.351547,-0.001564,,
0.1937934,-0.05324,9.856635,-0.132203,9.857665,90.768433,90.309479,0.008059,,
0.1962466,-0.046062,9.849456,-0.10349,9.850107,90.601982,90.267944,0.000501,,
0.1986997,-0.055633,9.827921,-0.108275,9.828675,90.631195,90.324333,-0.020931,,
0.2011527,-0.08674,9.839885,-0.122632,9.841031,90.713997,90.505058,-0.008575,,
0.2036059,-0.077169,9.832706,-0.055633,9.833167,90.324165,90.449654,-0.016439,,
0.2060589,-0.06999,9.837492,-0.096311,9.838212,90.560905,90.407631,-0.011394,,
0.2085119,-0.06999,9.847063,-0.101097,9.847831,90.588203,90.407234,-0.001775,,
0.2109647,-0.10349,9.832706,-0.093918,9.833699,90.547218,90.60302,-0.015907,,
0.2134177,-0.043669,9.854242,-0.089133,9.854742,90.518227,90.253906,0.005136,,
0.2158706,-0.043669,9.84467,-0.129811,9.845623,90.755447,90.25415,-0.003983,,
0.2183237,-0.072383,9.847063,-0.153739,9.84853,90.89444,90.421158,-0.001076,,
0.2207767,-0.05324,9.825528,-0.153739,9.826875,90.896416,90.310455,-0.022731,,
0.2232295,-0.036491,9.849456,-0.148953,9.85065,90.866409,90.212273,0.001044,,
0.2256822,-0.079561,9.830314,-0.14656,9.831728,90.854134,90.463715,-0.017878,,
0.2281348,-0.067597,9.882956,-0.125025,9.883978,90.72477,90.391884,0.034372,,
0.2305881,-0.055633,9.880563,-0.158524,9.881991,90.919167,90.322601,0.032385,,
0.2330412,-0.024526,9.837492,-0.108275,9.838119,90.630592,90.142845,-0.011487,,
0.2354941,-0.014955,9.859028,-0.122632,9.859801,90.712639,90.086914,0.010195,,
0.2379476,-0.074776,9.847063,-0.117847,9.848052,90.685646,90.435081,-0.001554,,
0.2404002,-0.058026,9.820743,-0.120239,9.82165,90.701447,90.338531,-0.027956,,
0.2428528,-0.043669,9.832706,-0.144168,9.83386,90.840004,90.254463,-0.015746,,
0.2453054,-0.060419,9.823135,-0.194417,9.825245,91.133812,90.352402,-0.024361,,
0.2477585,-0.065204,9.825528,-0.168096,9.827182,90.980103,90.380219,-0.022424,,
0.2502111,-0.048455,9.837492,-0.10349,9.838156,90.602715,90.282211,-0.01145,,
0.2526644,-0.072383,9.839885,-0.113061,9.8408,90.658287,90.421463,-0.008806,,
0.2551173,-0.043669,9.84467,-0.16331,9.846122,90.950363,90.25415,-0.003484,,
0.25757,-0.074776,9.842278,-0.151346,9.843725,90.880951,90.435287,-0.005881,,
0.2600231,-0.05324,9.813564,-0.144168,9.814768,90.841637,90.310837,-0.034838,,
0.2624761,-0.024526,9.849456,-0.117847,9.850191,90.685493,90.142677,0.000585,,
0.2649292,-0.031705,9.84467,-0.108275,9.845317,90.630135,90.184525,-0.004289,,
0.267382,-0.041276,9.854242,-0.110668,9.85495,90.643425,90.23999,0.005344,,
0.2698347,-0.055633,9.856635,-0.120239,9.857526,90.698898,90.323387,0.00792,,
0.2722876,-0.105882,9.808778,-0.117847,9.810057,90.688301,90.618462,-0.039549,,
0.27474,-0.105882,9.825528,-0.096311,9.826571,90.561569,90.617409,-0.023035,,
0.2771931,-0.041276,9.861421,-0.096311,9.861978,90.559555,90.239815,0.012372,,
0.2796468,-0.081954,9.856635,-0.10349,9.857519,90.601532,90.476379,0.007913,,
0.2820996,-0.05324,9.832706,-0.132203,9.833739,90.770302,90.310234,-0.015867,,
0.2845529,-0.05324,9.842278,-0.14656,9.843513,90.853111,90.309929,-0.006093,,
0.2870061,-0.077169,9.859028,-0.158524,9.860604,90.921158,90.448456,0.010998,,
0.2894593,-0.05324,9.851849,-0.132203,9.85288,90.768806,90.309631,0.003274,,
0.2919125,-0.05324,9.859028,-0.16331,9.860524,90.948975,90.309402,0.010918,,
0.2943654,-0.026919,9.839885,-0.170489,9.841398,90.992622,90.156746,-0.008208,,
0.2968184,-0.038883,9.851849,-0.153739,9.853125,90.894028,90.226135,0.003519,,
0.2992713,-0.067597,9.832706,-0.158524,9.834216,90.92363,90.39389,-0.01539,,
0.3017241,-0.048455,9.84467,-0.125025,9.845584,90.727592,90.282005,-0.004022,,
0.3041778,-0.079561,9.84467,-0.098704,9.845487,90.574417,90.463036,-0.004119,,
0.306631,-0.093918,9.847063,-0.079561,9.847833,90.462898,90.546455,-0.001773,,
0.3090841,-0.050847,9.837492,-0.055633,9.837781,90.324013,90.296143,-0.011825,,
0.311537,-0.060419,9.851849,-0.127418,9.852858,90.740974,90.351372,0.003252,,
0.3139902,-0.062812,9.851849,-0.19681,9.854014,91.144417,90.365288,0.004408,,
0.3164433,-0.08674,9.849456,-0.177667,9.851439,91.033363,90.504562,0.001833,,
0.3188964,-0.077169,9.866206,-0.129811,9.867362,90.753777,90.448128,0.017756,,
0.3213503,-0.038883,9.866206,-0.115454,9.866959,90.670433,90.225807,0.017353,,
0.3238032,-0.038883,9.832706,-0.136989,9.833737,90.798187,90.226578,-0.015869,,
0.3262566,-0.019741,9.866206,-0.160917,9.867538,90.93441,90.114639,0.017932,,
0.3287093,-0.072383,9.835099,-0.170489,9.836843,90.99308,90.421669,-0.012763,,
0.3311619,-0.038883,9.84467,-0.141775,9.845768,90.825066,90.226295,-0.003838,,
0.3336155,-0.041276,9.827921,-0.108275,9.828604,90.631203,90.240631,-0.021002,,
0.3360687,-0.067597,9.839885,-0.079561,9.840439,90.463249,90.3936,-0.009167,,
0.3385217,-0.072383,9.861421,-0.113061,9.862334,90.656845,90.420547,0.012728,,
0.3409747,-0.026919,9.825528,-0.084347,9.825927,90.491837,90.156975,-0.023679,,
0.3434276,-0.05324,9.868599,-0.079561,9.869063,90.461906,90.309105,0.019457,,
0.3458803,-0.065204,9.854242,-0.079561,9.854779,90.462578,90.379112,0.005173,,
0.3483339,-0.026919,9.849456,-0.10349,9.850037,90.60199,90.156593,0.000431,,
0.3507868,-0.074776,9.851849,-0.067597,9.852365,90.393112,90.434868,0.002759,,
0.3532395,-0.072383,9.830314,-0.067597,9.830812,90.393974,90.421875,-0.018794,,
0.3556925,-0.062812,9.830314,-0.041276,9.830601,90.24057,90.366089,-0.019005,,
0.358146,-0.062812,9.847063,-0.08674,9.847646,90.504677,90.365471,-0.00196,,
0.3605991,-0.055633,9.851849,-0.101097,9.852525,90.587921,90.323547,0.002919,,
0.3630521,-0.007777,9.854242,-0.132203,9.855132,90.768631,90.045219,0.005526,,
0.3655055,-0.031705,9.832706,-0.113061,9.833407,90.658783,90.184746,-0.016199,,
0.367959,-0.050847,9.847063,-0.113061,9.847843,90.657814,90.29586,-0.001763,,
0.3704118,-0.046062,9.859028,-0.120239,9.859869,90.69873,90.267685,0.010263,,
0.3728648,-0.06999,9.856635,-0.110668,9.857505,90.643257,90.406837,0.007899,,
0.3753184,-0.072383,9.856635,-0.113061,9.857549,90.657166,90.420746,0.007943,,
0.377772,-0.031705,9.875777,-0.072383,9.876094,90.41993,90.183937,0.026488,,
0.3802252,-0.046062,9.823135,-0.067597,9.823476,90.394264,90.268661,-0.02613,,
0.3826792,-0.046062,9.861421,-0.117847,9.862232,90.684662,90.267624,0.012626,,
0.385133,-0.024526,9.847063,-0.125025,9.847887,90.727425,90.142708,-0.001719,,
0.3875862,-0.043669,9.854242,-0.14656,9.855429,90.852081,90.253906,0.005823,,
0.3900393,-0.060419,9.856635,-0.132203,9.857706,90.768425,90.351204,0.0081,,
0.3924926,-0.043669,9.866206,-0.160917,9.867615,90.934402,90.253593,0.018009,,
0.3949458,-0.08674,9.866206,-0.115454,9.867263,90.670418,90.503708,0.017657,,
0.3973993,-0.062812,9.885348,-0.129811,9.8864,90.752327,90.364052,0.036794,,
0.3998527,-0.048455,9.866206,-0.158524,9.867599,90.920502,90.281387,0.017993,,
0.402306,-0.038883,9.863813,-0.16331,9.865242,90.948524,90.225861,0.015636,,
0.4047592,-0.041276,9.866206,-0.125025,9.867085,90.726006,90.2397,0.017479,,
0.4072122,-0.060419,9.847063,-0.10349,9.847793,90.602127,90.351547,-0.001813,,
0.4096644,-0.050847,9.861421,-0.125025,9.862345,90.726357,90.295425,0.012739,,
0.4121169,-0.046062,9.856635,-0.129811,9.857597,90.754524,90.267754,0.007991,,
0.4145693,-0.055633,9.870992,-0.158524,9.872421,90.920059,90.322914,0.022815,,
0.4170225,-0.050847,9.839885,-0.160917,9.841331,90.936897,90.296074,-0.008275,,
0.4194755,-0.034098,9.868599,-0.177667,9.870256,91.031395,90.197968,0.02065,,
0.4219289,-0.062812,9.861421,-0.151346,9.862782,90.87925,90.364937,0.013176,,
0.4243821,-0.060419,9.861421,-0.156132,9.862842,90.907043,90.351036,0.013236,,
0.4268346,-0.038883,9.859028,-0.156132,9.860341,90.90728,90.225967,0.010735,,
0.4292876,-0.043669,9.861421,-0.134596,9.862436,90.78196,90.253723,0.01283,,
0.4317407,-0.038883,9.851849,-0.108275,9.85252,90.629669,90.226135,0.002914,,
0.4341934,-0.036491,9.854242,-0.120239,9.855043,90.699074,90.212166,0.005437,,
0.4366465,-0.072383,9.87817,-0.113061,9.879082,90.655731,90.41983,0.029476,,
0.4390999,-0.048455,9.868599,-0.081954,9.869058,90.4758,90.281319,0.019452,,
0.4415531,-0.031705,9.863813,-0.065204,9.864079,90.378746,90.184166,0.014473,,
0.4440065,-0.079561,9.851849,-0.055633,9.852327,90.323532,90.4627,0.002721,,
0.4464602,-0.046062,9.890134,-0.072383,9.890506,90.419319,90.266846,0.0409,,
0.4489132,-0.067597,9.830314,-0.093918,9.830995,90.547371,90.393982,-0.018611,,
0.4513664,-0.048455,9.825528,-0.101097,9.826168,90.5895,90.282555,-0.023438,,
0.4538196,-0.048455,9.854242,-0.113061,9.85501,90.657333,90.281731,0.005404,,
0.4562729,-0.034098,9.851849,-0.108275,9.852503,90.629669,90.198303,0.002897,,
0.4587259,-0.055633,9.861421,-0.105882,9.862146,90.61515,90.323227,0.01254,,
0.4611787,-0.055633,9.837492,-0.089133,9.838053,90.519104,90.324013,-0.011553,,
0.4636317,-0.058026,9.854242,-0.089133,9.854816,90.518227,90.337379,0.00521,,
0.4660848,-0.046062,9.859028,-0.08674,9.859517,90.504074,90.267685,0.009911,,
0.468538,-0.06999,9.868599,-0.096311,9.869317,90.559135,90.406349,0.019711,,
0.4709909,-0.036491,9.837492,-0.089133,9.837963,90.519112,90.212524,-0.011643,,
0.4734438,-0.043669,9.837492,-0.081954,9.83793,90.477303,90.254333,-0.011676,,
0.4758969,-0.067597,9.84467,-0.055633,9.845059,90.323776,90.39341,-0.004547,,
0.4783499,-0.067597,9.830314,-0.081954,9.830888,90.477646,90.393982,-0.018718,,
0.4808032,-0.060419,9.854242,-0.10349,9.854971,90.601692,90.351288,0.005365,,
0.4832567,-0.065204,9.830314,-0.098704,9.831025,90.575264,90.380035,-0.018581,,
0.4857098,-0.079561,9.830314,-0.14656,9.831728,90.854134,90.463715,-0.017878,,
0.4881624,-0.089133,9.825528,-0.141775,9.826955,90.826645,90.519745,-0.022651,,
0.4906156,-0.031705,9.863813,-0.172881,9.865379,91.004105,90.184166,0.015773,,
0.4930688,-0.06999,9.854242,-0.182453,9.85618,91.060692,90.406937,0.006574,,
0.4955219,-0.050847,9.847063,-0.136989,9.848147,90.79702,90.29586,-0.001459,,
0.497975,-0.019741,9.835099,-0.148953,9.836247,90.867683,90.115005,-0.013359,,
0.5004278,-0.072383,9.827921,-0.19681,9.830158,91.147194,90.421974,-0.019448,,
0.5028806,-0.08674,9.835099,-0.16331,9.836838,90.951263,90.505302,-0.012768,,
0.5053341,-0.050847,9.847063,-0.148953,9.848321,90.866615,90.29586,-0.001285,,
0.5077876,-0.110668,9.84467,-0.139382,9.846278,90.811096,90.644058,-0.003328,,
0.5102407,-0.062812,9.873384,-0.160917,9.874895,90.933708,90.364494,0.025289,,
0.5126939,-0.093918,9.830314,-0.105882,9.831332,90.617081,90.547386,-0.018274,,
0.5151469,-0.048455,9.849456,-0.125025,9.850368,90.727242,90.281868,0.000762,,
0.5175994,-0.062812,9.870992,-0.153739,9.872389,90.892281,90.364586,0.022783,,
0.5200526,-0.072383,9.830314,-0.14656,9.831673,90.854141,90.421875,-0.017933,,
0.522505,-0.062812,9.835099,-0.184846,9.837036,91.076698,90.365913,-0.01257,,
0.5249578,-0.022134,9.842278,-0.203988,9.844416,91.187325,90.128845,-0.00519,,
0.5274106,-0.041276,9.859028,-0.177667,9.860715,91.032394,90.239876,0.011109,,
0.5298632,-0.010169,9.837492,-0.172881,9.839016,91.006798,90.059227,-0.01059,,
0.5323156,-0.05324,9.820743,-0.177667,9.822494,91.036407,90.310608,-0.027112,,
0.5347688,-0.060419,9.825528,-0.139382,9.826702,90.812714,90.352318,-0.022904,,
0.5372218,-0.074776,9.839885,-0.141775,9.84119,90.825447,90.435394,-0.008416,,
0.5396751,-0.067597,9.823135,-0.136989,9.824324,90.79895,90.394272,-0.025282,,
0.5421274,-0.055633,9.811171,-0.141775,9.812353,90.827873,90.324883,-0.037253,,
0.5445796,-0.046062,9.837492,-0.144168,9.838655,90.839592,90.268272,-0.010951,,
0.5470325,-0.060419,9.78485,-0.115454,9.785718,90.676003,90.353783,-0.063888,,
0.5494854,-0.065204,9.835099,-0.098704,9.835811,90.574982,90.379852,-0.013795,,
0.5519386,-0.06999,9.811171,-0.084347,9.811783,90.492546,90.408722,-0.037823,,
0.5543914,-0.048455,9.823135,-0.072383,9.823522,90.42218,90.282623,-0.026084,,
0.5568442,-0.060419,9.811171,-0.081954,9.811699,90.478577,90.352829,-0.037907,,
0.5592976,-0.036491,9.830314,-0.113061,9.831032,90.658936,90.212685,-0.018574,,
0.5617511,-0.06999,9.856635,-0.108275,9.857478,90.629356,90.406837,0.007872,,
0.5642046,-0.026919,9.799207,-0.120239,9.799981,90.703003,90.157394,-0.049625,,
0.5666571,-0.058026,9.820743,-0.096311,9.821386,90.561867,90.338531,-0.02822,,
0.5691102,-0.050847,9.842278,-0.122632,9.843173,90.713844,90.295998,-0.006433,,
0.5715627,-0.058026,9.815957,-0.089133,9.816533,90.520241,90.338692,-0.033073,,
0.5740159,-0.048455,9.854242,-0.108275,9.854957,90.629517,90.281731,0.005351,,
0.5764685,-0.05324,9.81835,-0.14656,9.819588,90.855186,90.310684,-0.030018,,
0.5789218,-0.065204,9.830314,-0.127418,9.831356,90.742592,90.380035,-0.01825,,
0.5813748,-0.06999,9.835099,-0.141775,9.83637,90.825851,90.40773,-0.013236,,
0.5838276,-0.079561,9.830314,-0.139382,9.831624,90.812302,90.463715,-0.017982,,
0.5862806,-0.058026,9.832706,-0.125025,9.833673,90.728477,90.33812,-0.015933,,
0.5887337,-0.041276,9.851849,-0.115454,9.852612,90.67141,90.240051,0.003006,,
0.591187,-0.060419,9.830314,-0.10349,9.831044,90.603149,90.352142,-0.018562,,
0.5936393,-0.048455,9.868599,-0.132203,9.869603,90.767502,90.281319,0.019997,,
0.5960921,-0.014955,9.835099,-0.120239,9.835846,90.700439,90.08712,-0.01376,,
0.5985451,-0.046062,9.830314,-0.113061,9.831072,90.658936,90.268471,-0.018534,,
0.6009985,-0.065204,9.875777,-0.172881,9.877505,91.002876,90.378288,0.027899,,
0.6034511,-0.067597,9.84467,-0.132203,9.84579,90.769356,90.39341,-0.003816,,
0.6059037,-0.05324,9.861421,-0.141775,9.862584,90.823654,90.309326,0.012978,,
0.6083567,-0.026919,9.870992,-0.148953,9.872152,90.864525,90.15625,0.022546,,
0.6108093,-0.074776,9.835099,-0.151346,9.836548,90.881592,90.435608,-0.013058,,
0.6132623,-0.029312,9.823135,-0.175274,9.824743,91.022217,90.170967,-0.024863,,
0.6157153,-0.036491,9.873384,-0.144168,9.874504,90.836548,90.211754,0.024898,,
0.618168,-0.022134,9.854242,-0.122632,9.85503,90.712982,90.128693,0.005424,,
0.6206212,-0.065204,9.897313,-0.113061,9.898173,90.654472,90.377464,0.048567,,
0.6230746,-0.055633,9.868599,-0.089133,9.869158,90.517471,90.322998,0.019552,,
0.6255274,-0.05324,9.842278,-0.129811,9.843278,90.755623,90.309929,-0.006328,,
0.6279799,-0.055633,9.868599,-0.115454,9.869431,90.670265,90.322998,0.019825,,
0.6304321,-0.079561,9.859028,-0.081954,9.85969,90.47625,90.462364,0.010084,,
0.6328854,-0.072383,9.847063,-0.105882,9.847898,90.616043,90.421158,-0.001708,,
0.6353384,-0.029312,9.84467,-0.048455,9.844833,90.282005,90.170593,-0.004773,,
0.6377918,-0.065204,9.866206,-0.08674,9.866803,90.5037,90.378654,0.017197,,
0.6402444,-0.034098,9.866206,-0.108275,9.866859,90.628754,90.198013,0.017253,,
0.642697,-0.007777,9.859028,-0.098704,9.859525,90.573601,90.045197,0.009919,,
0.6451498,-0.115454,9.837492,-0.089133,9.838573,90.519081,90.672394,-0.011033,,
0.6476029,-0.043669,9.868599,-0.074776,9.868979,90.434128,90.253532,0.019373,,
0.6500557,-0.06999,9.827921,-0.108275,9.828767,90.631195,90.408028,-0.020839,,
0.6525087,-0.034098,9.894919,-0.132203,9.895862,90.765465,90.197441,0.046256,,
0.6549615,-0.038883,9.875777,-0.089133,9.876256,90.517097,90.225586,0.02665,,
0.6574149,-0.046062,9.854242,-0.098704,9.854844,90.573868,90.267815,0.005238,,
0.6598682,-0.017348,9.863813,-0.110668,9.86445,90.642807,90.100769,0.014844,,
0.6623214,-0.038883,9.870992,-0.074776,9.871351,90.434021,90.225693,0.021745,,
0.6647744,-0.062812,9.859028,-0.072383,9.859494,90.420639,90.365028,0.009888,,
0.6672273,-0.060419,9.880563,-0.091525,9.881171,90.530716,90.350357,0.031565,,
0.6696804,-0.036491,9.854242,-0.046062,9.854418,90.267815,90.212166,0.004812,,
0.6721334,-0.050847,9.861421,-0.036491,9.86162,90.212013,90.295425,0.012014,,
0.6745868,-0.050847,9.849456,-0.101097,9.850106,90.588066,90.295784,0.0005,,
0.6770393,-0.065204,9.868599,-0.122632,9.869576,90.711937,90.378563,0.01997,,
0.6794919,-0.091525,9.863813,-0.120239,9.864971,90.698364,90.531624,0.015365,,
0.6819444,-0.024526,9.880563,-0.105882,9.881161,90.613968,90.142227,0.031555,,
0.6843974,-0.038883,9.861421,-0.113061,9.862145,90.65686,90.225914,0.012539,,
0.6868501,-0.072383,9.875777,-0.10349,9.876585,90.600372,90.41993,0.026979,,
0.6893032,-0.077169,9.885348,-0.125025,9.88644,90.724586,90.447266,0.036834,,
0.6917558,-0.046062,9.851849,-0.122632,9.852719,90.71315,90.267883,0.003113,,
0.6942084,-0.058026,9.856635,-0.151346,9.857967,90.879677,90.337296,0.008361,,
0.6966614,-0.065204,9.856635,-0.139382,9.857836,90.810143,90.379021,0.00823,,
0.6991146,-0.036491,9.899706,-0.144168,9.900823,90.83432,90.211189,0.051217,,
0.7015671,-0.05324,9.885348,-0.117847,9.886194,90.682999,90.308578,0.036588,,
0.7040201,-0.031705,9.875777,-0.151346,9.876987,90.877983,90.183937,0.027381,,
