Keuwl Accelerometer Data File
2025-03-31 16:46:37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.048455,9.859028,-0.101097,9.859666,90.587494,90.281593
0.0024529,-0.053240,9.830314,-0.125025,9.831253,90.728653,90.310310
0.0049056,-0.043669,9.859028,-0.134596,9.860044,90.782150,90.253784
0.0073587,-0.053240,9.847063,-0.108275,9.847803,90.629974,90.309776
0.0098119,0.078365,9.837492,0.221934,9.840307,88.707664,89.543594
0.0122650,-0.268594,9.868599,-0.716052,9.898188,94.148499,91.559036
0.0147182,0.064008,9.887741,-0.335593,9.893641,91.943855,89.629105
0.0171715,-0.055633,9.825528,0.181256,9.827357,88.943176,90.324409
0.0196248,-0.026919,9.844670,-0.002991,9.844707,90.017410,90.156670
0.0220778,-0.084347,9.837492,-0.345165,9.843907,92.009422,90.491241
0.0245314,-0.065204,9.839885,-0.270987,9.843831,91.577477,90.379669
0.0269845,0.011366,9.854242,-0.034098,9.854308,90.198257,89.933914
0.0294376,-0.041276,9.842278,0.064008,9.842572,89.627396,90.240280
0.0318905,-0.048455,9.851849,-0.165703,9.853361,90.963585,90.281799
0.0343434,-0.058026,9.875777,-0.306879,9.880714,91.779800,90.336639
0.0367968,-0.058026,9.808778,-0.096311,9.809422,90.562553,90.338943
0.0392505,-0.036491,9.847063,-0.005384,9.847133,90.031326,90.212318
0.0417047,-0.012562,9.813564,-0.189631,9.815404,91.107010,90.073341
0.0441578,-0.074776,9.839885,-0.249452,9.843330,91.452156,90.435394
0.0466114,-0.017348,9.835099,-0.132203,9.836003,90.770119,90.101067
0.0490643,-0.022134,9.832706,-0.089133,9.833135,90.519363,90.128975
0.0515172,-0.062812,9.825528,-0.132203,9.826618,90.770859,90.366272
0.0539705,-0.067597,9.832706,-0.170489,9.834416,90.993324,90.393890
0.0564239,-0.065204,9.827921,-0.146560,9.829229,90.854347,90.380127
0.0588770,-0.005384,9.851849,-0.129811,9.852706,90.754898,90.031311
0.0613299,-0.048455,9.863813,-0.067597,9.864164,90.392639,90.281456
0.0637828,-0.060419,9.837492,-0.091525,9.838103,90.533043,90.351891
0.0662356,-0.041276,9.878170,-0.132203,9.879141,90.766762,90.239410
0.0686886,-0.026919,9.885348,-0.115454,9.886059,90.669144,90.156021
