time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
0.088057,0.068285,-0.21546,-0.234612,-9.820188,-9.825353,0,-0.005325,0.00426,97488.03,31.83,-0.000731482
0.157563,0.069506,-0.208278,-0.253764,-9.836946,-9.842423,0.001065,-0.005325,0.00426,97475.63,31.83,-0.017801482
0.22865,0.071087,-0.177156,-0.256158,-9.82737,-9.832304,0.00426,-0.009585,0.001065,97475.63,31.83,-0.007682482
0.29598,0.06733,-0.198702,-0.256158,-9.813006,-9.81836,0,-0.005325,0.003195,97483.9,31.83,0.006261518
0.363201,0.067221,-0.234612,-0.213066,-9.822582,-9.827693,0.001065,-0.00426,0.003195,97479.76,31.83,-0.003071482
0.430375,0.067173,-0.21546,-0.25137,-9.817794,-9.823375,0,-0.00639,0.00426,97479.76,31.85,0.001246518
0.497999,0.067625,-0.189126,-0.256158,-9.836946,-9.842098,0.005325,-0.00426,0.00426,97479.76,31.84,-0.017476482
0.568686,0.070687,-0.19152,-0.25137,-9.813006,-9.818093,-0.001065,-0.003195,0.00426,97488.03,31.84,0.006528518
0.638752,0.070066,-0.246582,-0.225036,-9.829764,-9.835431,0.003195,-0.00639,0.005325,97483.9,31.84,-0.010809482
0.709644,0.070892,-0.232218,-0.234612,-9.810612,-9.816164,0.00213,-0.00639,0.005325,97488.03,31.84,0.008457518
0.777408,0.067765,-0.184338,-0.241794,-9.798642,-9.803358,-0.00213,-0.00426,0.001065,97479.76,31.83,0.021263518
0.844307,0.066899,-0.205884,-0.225036,-9.829764,-9.834495,0.00213,-0.005325,0.003195,97483.9,31.84,-0.009873482
0.911015,0.066708,-0.22743,-0.246582,-9.796248,-9.80199,0.001065,-0.00426,0.005325,97475.63,31.83,0.022631518
0.978257,0.067242,-0.237006,-0.260946,-9.829764,-9.836083,0.001065,-0.005325,0.00426,97479.76,31.84,-0.011461482
1.045676,0.067419,-0.220248,-0.232218,-9.85131,-9.856508,0.005325,-0.00639,0.005325,97471.5,31.84,-0.031886482
1.11207,0.066394,-0.198702,-0.27531,-9.805824,-9.8117,0.003195,-0.005325,0.005325,97479.76,31.84,0.012921518
