time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
378.8708,0.020087,-0.05985,0.002394,-9.870462,-9.870644,0,-0.003195,0.00213,99127.86,30.45,-0.046644
378.890883,0.020083,-0.026334,-0.028728,-9.865674,-9.865751,0.003195,-0.005325,0.003195,99127.86,30.45,-0.041751
378.911007,0.020125,-0.040698,0.050274,-9.83934,-9.839553,0,-0.00852,0.003195,99127.86,30.45,-0.015553
378.931237,0.020229,-0.043092,-0.033516,-9.793854,-9.794006,0.001065,-0.00852,0.001065,99127.86,30.45,0.029994
378.951392,0.020155,-0.067032,0.055062,-9.848916,-9.849298,0.00213,-0.007455,0.003195,99127.86,30.45,-0.025298
378.971519,0.020127,-0.100548,0.009576,-9.834552,-9.835071,-0.001065,-0.00426,0.001065,99127.86,30.45,-0.011071
378.99162,0.020101,-0.076608,-0.03591,-9.824976,-9.82534,0.003195,-0.00426,0.00213,99127.86,30.45,-0.00134
379.011722,0.020102,-0.090972,0.038304,-9.87525,-9.875743,0.001065,-0.005325,0.001065,99127.89,30.45,-0.051743
379.031814,0.020092,-0.062244,-0.040698,-9.793854,-9.794136,0,-0.00426,0.003195,99127.89,30.45,0.029864
379.051894,0.02008,-0.052668,-0.04788,-9.877644,-9.8779,0.001065,-0.00852,0.003195,99127.89,30.45,-0.0539
379.071999,0.020105,-0.07182,0.016758,-9.865674,-9.86595,0.001065,-0.005325,0.005325,99127.89,30.45,-0.04195
379.092095,0.020096,-0.086184,-0.019152,-9.82737,-9.827767,0,-0.00426,0.003195,99127.89,30.45,-0.003767
379.112397,0.020302,-0.069426,-0.01197,-9.829764,-9.830016,0.005325,-0.00426,0.00213,99127.89,30.45,-0.006016
379.132493,0.020096,-0.043092,0.01197,-9.88722,-9.887321,0.001065,-0.007455,0.007455,99127.98,30.45,-0.063321
379.152585,0.020092,-0.057456,0.019152,-9.829764,-9.829951,0.001065,-0.00639,0.003195,99127.98,30.45,-0.005951
379.172677,0.020092,-0.028728,0.009576,-9.836946,-9.836993,0.00426,-0.007455,0.00426,99127.98,30.45,-0.012993
379.192778,0.0201,-0.062244,0.009576,-9.86328,-9.863481,0.00426,-0.00852,0.003195,99127.98,30.45,-0.039481
379.212873,0.020095,-0.069426,-0.004788,-9.846522,-9.846768,0.00426,-0.00426,0.003195,99127.98,30.45,-0.022768
379.233401,0.020528,-0.021546,0.028728,-9.858492,-9.858557,0.001065,-0.00639,0.00426,99127.98,30.45,-0.034557
379.253488,0.020087,-0.076608,-0.028728,-9.76752,-9.767863,0,-0.00639,0.003195,99127.94,30.45,0.056137
379.273582,0.020095,-0.093366,0.026334,-9.868068,-9.868545,0.00213,-0.005325,-0.001065,99127.94,30.45,-0.044545
379.293672,0.020089,-0.112518,0.004788,-9.834552,-9.835197,-0.001065,-0.007455,0.00426,99127.94,30.45,-0.011197
379.313788,0.020117,-0.086184,-0.004788,-9.801036,-9.801416,0.001065,-0.00639,0.00213,99127.94,30.45,0.022584
379.3344,0.020611,-0.105336,0.031122,-9.853704,-9.854316,0.001065,-0.005325,0.001065,99127.94,30.45,-0.030316
379.356256,0.021856,-0.090972,-0.016758,-9.836946,-9.837381,0.00213,-0.00639,0.00639,99128.07,30.45,-0.013381
379.37634,0.020084,-0.057456,0.026334,-9.846522,-9.846725,0.00213,-0.007455,0.00426,99128.07,30.45,-0.022725
379.396435,0.020095,-0.045486,-0.016758,-9.801036,-9.801156,0.001065,-0.009585,-0.001065,99128.07,30.45,0.022844
379.416553,0.020118,-0.067032,-0.021546,-9.8154,-9.815653,0.00213,-0.005325,0.005325,99128.07,30.45,0.008347
379.436666,0.020113,-0.038304,0.009576,-9.870462,-9.870541,0.001065,-0.007455,0.005325,99128.07,30.45,-0.046541
379.456852,0.020186,-0.04788,-0.05985,-9.796248,-9.796548,0,-0.00639,0.00213,99128.07,30.45,0.027452
379.476943,0.02009,-0.074214,-0.016758,-9.83934,-9.839634,0.00213,-0.00639,0.001065,99127.97,30.45,-0.015634
379.497137,0.020194,-0.064638,0.019152,-9.865674,-9.865904,0.001065,-0.007455,0.00213,99127.97,30.45,-0.041904
